file,strehl,rms_err,fwhm,mjd,epoch,airmass,itime,coadds,fwiname,az,dmgain,dtgain,xref,yref,xstrehl,ystrehl,wsfrrt,aolbfwhm,lsamppwr,lgrmswf,aoaoamed,tubetemp,mass_mjd,dimm_mjd,masspro_mjd,cfht_mjd,mass,dimm,masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,wind_speed,wind_direction,temperature,relative_humidity,pressure
c3131.fits,0.18,442.4,85.72,56409.61654,13aprlgs,1.58855,2.8,10,Kp,197.57076,0.25,0.02,405.277,708.9860000000001,510.537,424.481,750,1.1104180000000001,15.046512,158.5,492,-0.0333,56409.609178240746,56409.61479166668,56409.605902777774,56409.61666666668,0.3,0.34,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,1.0,136.0,1.6,8.0,615.4
c3132.fits,0.185,439.2,83.96,56409.61713,13aprlgs,1.59064,2.8,10,Kp,197.79816,0.25,0.02,406.306,709.243,511.718,424.811,750,1.116723,14.674419,156.2,728,-0.0447,56409.609178240746,56409.618587962956,56409.605902777774,56409.61736111112,0.3,0.35,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,2.0,131.0,1.66,8.0,615.4
c3133.fits,0.187,437.8,83.17,56409.61772,13aprlgs,1.59276,2.8,10,Kp,198.02507,0.25,0.02,406.366,709.163,511.704,424.795,750,1.135672,14.860465,162.7,707,-0.0347,56409.609178240746,56409.618587962956,56409.605902777774,56409.618055555555,0.3,0.35,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,2.0,130.0,1.71,8.0,615.4
c3134.fits,0.192,434.2,80.94,56409.61835,13aprlgs,1.59503,2.8,10,Kp,198.26201,0.25,0.02,401.974,658.01,507.147,373.585,750,1.117643,14.813953,149.2,677,-0.0283,56409.609178240746,56409.618587962956,56409.605902777774,56409.618055555555,0.3,0.35,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,2.0,130.0,1.71,8.0,615.4
c3135.fits,0.211,421.6,76.94,56409.61894,13aprlgs,1.59721,2.8,10,Kp,198.48667,0.25,0.02,402.152,657.7660000000001,507.37699999999995,373.241,750,1.064201,14.767442,190.4,665,-0.0131,56409.609178240746,56409.618587962956,56409.605902777774,56409.61875,0.3,0.35,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,3.0,131.0,1.73,8.0,615.4
c3136.fits,0.234,407.5,71.42,56409.61953,13aprlgs,1.59944,2.8,10,Kp,198.71137,0.25,0.02,401.31800000000004,658.586,506.726,373.923,750,1.075379,14.674419,138.2,604,-0.0038,56409.609178240746,56409.62019675926,56409.605902777774,56409.619444444426,0.3,0.4,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,3.0,131.0,1.73,8.0,615.5
c3137.fits,0.145,469.9,90.94,56409.62012000001,13aprlgs,1.6017,2.8,10,Kp,198.93544,0.25,0.02,401.751,657.2919999999999,507.009,372.94699999999995,750,1.0667,14.906977,151.8,520,-0.0096,56409.609178240746,56409.62019675926,56409.605902777774,56409.62013888889,0.3,0.4,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,1.0,132.0,1.73,8.0,615.5
c3138.fits,0.159,458.8,84.76,56409.62071,13aprlgs,1.60399,2.8,10,Kp,199.15874,0.25,0.02,401.37,658.252,506.59,373.61300000000006,750,1.090186,14.581395,142.0,570,-0.0133,56409.609178240746,56409.62019675926,56409.605902777774,56409.62083333332,0.3,0.4,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,1.0,137.0,1.72,8.0,615.5
c3139.fits,0.16899999999999998,451.1,83.41,56409.6213,13aprlgs,1.60632,2.8,10,Kp,199.38188,0.25,0.02,401.903,658.2330000000001,506.92,373.81199999999995,750,1.066924,14.581395,215.1,616,0.0111,56409.609178240746,56409.621273148165,56409.605902777774,56409.621527777774,0.3,0.49,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,0.0,144.0,1.7,8.0,615.5
c3140.fits,0.159,458.3,90.67,56409.6219,13aprlgs,1.6086799999999999,2.8,10,Kp,199.60442,0.25,0.02,401.534,657.707,506.36400000000003,373.466,750,1.0944770000000001,14.581395,176.7,562,-0.0026,56409.609178240746,56409.62233796298,56409.605902777774,56409.62222222223,0.3,0.47,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,0.0,148.0,1.69,8.0,615.5
