strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure
0.318,59.56,1.6838400000000002,154.77066000000002,0.08,0.27,13.0,68.0,3.67,14.0,619.8
0.313,60.83,1.68052,154.9738,0.08,0.33,12.0,70.0,3.67,14.0,619.8
0.318,60.49,1.67723,155.1777,0.08,0.33,13.0,66.0,3.67,14.0,619.8
0.325,59.35,1.67398,155.38278,0.11,0.33,13.0,64.0,3.67,14.0,619.8
0.336,58.33,1.67077,155.58817,0.11,0.33,13.0,64.0,3.67,14.0,619.8
0.299,62.73,1.6661700000000002,155.8885,0.11,0.39,14.0,64.0,3.67,14.0,619.8
0.247,71.94,1.6631,156.09208,0.11,0.39,14.0,64.0,3.67,14.0,619.8
0.26,67.29,1.6600700000000002,156.29774,0.11,0.39,13.0,62.0,3.67,14.0,619.8
0.297,61.61,1.65703,156.50647,0.07,0.32,13.0,61.0,3.66,14.0,619.8
0.287,63.73,1.65405,156.71405,0.07,0.32,13.0,65.0,3.65,14.0,619.8
0.275,66.99,1.6510900000000002,156.92351000000002,0.07,0.36,13.0,62.0,3.65,14.0,619.8
0.262,66.21,1.64697,157.22114,0.07,0.31,13.0,66.0,3.65,14.0,619.8
0.316,59.49,1.64415,157.42891,0.14,0.31,12.0,65.0,3.65,14.0,619.8
0.262,66.1,1.6413200000000001,157.6408,0.14,0.33,12.0,66.0,3.64,14.0,619.8
0.268,65.92,1.6385299999999998,157.85375,0.14,0.33,12.0,66.0,3.64,14.0,619.8
0.311,60.96,1.6357899999999999,158.0655,0.14,0.3,12.0,67.0,3.64,14.0,619.8
0.274,66.8,1.63309,158.27774,0.14,0.3,13.0,66.0,3.62,14.0,619.8
0.281,65.89,1.62972,158.5478,0.1,0.36,13.0,67.0,3.61,14.0,619.8
0.279,66.12,1.62713,158.75888999999998,0.1,0.35,13.0,66.0,3.61,14.0,619.8
0.253,68.78,1.62457,158.97182,0.1,0.35,12.0,71.0,3.61,14.0,619.8
0.238,73.56,1.62201,159.18732,0.1,0.35,12.0,68.0,3.63,14.0,619.9
0.27,68.64,1.6194899999999999,159.40384,0.17,0.35,12.0,65.0,3.64,14.0,619.9
0.284,65.2,1.61699,159.62203,0.17,0.39,12.0,65.0,3.64,14.0,619.9
0.246,71.04,1.61379,159.90704,0.17,0.39,13.0,70.0,3.66,14.0,619.9
0.281,66.42,1.61143,160.12113,0.25,0.38,12.0,70.0,3.67,14.0,619.9
0.27,68.46,1.60905,160.33977,0.25,0.38,11.0,70.0,3.68,14.0,619.9
0.28300000000000003,65.73,1.60675,160.55585,0.26,0.38,12.0,73.0,3.71,14.0,619.9
0.319,60.42,1.60427,160.79235,0.33,0.44,13.0,73.0,3.73,14.0,619.8
0.32299999999999995,59.53,1.60201,161.01179,0.33,0.44,12.0,75.0,3.76,14.0,619.8
0.299,64.03,1.5986200000000002,161.34894,0.22,0.41,12.0,78.0,3.8,14.0,619.8
0.313,62.58,1.59627,161.58736000000002,0.26,0.49,11.0,83.0,3.83,14.0,619.8
0.305,62.97,1.59415,161.8067,0.26,0.49,11.0,73.0,3.86,14.0,619.8
0.373,56.52,1.5920100000000001,162.03236,0.25,0.43,13.0,74.0,3.89,14.0,619.8
0.311,63.3,1.58992,162.25644,0.25,0.47,13.0,74.0,3.89,14.0,619.8
0.317,62.03,1.58786,162.48098000000002,0.21,0.47,11.0,73.0,3.93,14.0,619.8
0.297,65.67,1.58521,162.77728000000002,0.23,0.52,12.0,75.0,3.96,14.0,619.8
0.321,61.92,1.5832600000000001,162.99921,0.23,0.52,12.0,73.0,3.99,14.0,619.8
0.267,67.33,1.58113,163.2467,0.1,0.38,12.0,77.0,4.02,14.0,619.8
0.263,67.22,1.57923,163.47145,0.1,0.38,12.0,75.0,4.04,14.0,619.8
0.308,62.23,1.57734,163.70002,0.1,0.45,11.0,77.0,4.07,14.0,619.8
0.247,71.12,1.57535,163.94534,0.13,0.45,11.0,73.0,4.09,14.0,619.8
0.242,70.99,1.57302,164.23858,0.25,0.49,11.0,73.0,4.11,14.0,619.8
0.237,71.53,1.5712700000000002,164.46317,0.25,0.49,12.0,78.0,4.12,14.0,619.9
0.257,70.46,1.56938,164.71065,0.25,0.44,10.0,79.0,4.13,14.0,619.9
0.32299999999999995,59.87,1.56755,164.95701,0.14,0.44,10.0,79.0,4.13,14.0,619.9
0.146,89.03,1.56588,165.18502,0.14,0.44,11.0,72.0,4.13,14.0,619.9
0.204,77.89,1.56423,165.41457,0.14,0.5,11.0,70.0,4.15,14.0,619.9
0.19,82.95,1.56219,165.70649,0.14,0.52,11.0,77.0,4.16,14.0,619.9
0.262,67.86,1.56063,165.93329,0.14,0.52,10.0,89.0,4.16,14.0,619.9
0.278,66.64,1.5590899999999999,166.16382,0.2,0.52,10.0,77.0,4.16,14.0,619.9
0.293,64.44,1.5575700000000001,166.39407,0.2,0.34,10.0,74.0,4.16,14.0,619.9
0.303,64.6,1.55608,166.62561000000002,0.06,0.34,10.0,75.0,4.16,14.0,619.9
0.343,59.04,1.55461,166.86008,0.06,0.34,10.0,75.0,4.16,14.0,619.9
0.309,62.73,1.55282,167.1516,0.06,0.42,10.0,70.0,4.16,14.0,619.9
0.33,60.35,1.55145,167.3814,0.06,0.57,10.0,81.0,4.15,14.0,619.9
0.364,56.65,1.55008,167.61463999999998,0.06,0.57,10.0,70.0,4.15,14.0,619.9
0.394,54.84,1.54856,167.87967,0.24,0.57,11.0,73.0,4.16,14.0,619.9
0.34700000000000003,58.95,1.54724,168.11628000000002,0.24,0.47,10.0,76.0,4.16,14.0,619.9
0.355,58.56,1.54597,168.34837,0.24,0.47,9.0,74.0,4.16,14.0,619.9
0.355,58.38,1.54434,168.65495,0.24,0.39,9.0,75.0,4.17,14.0,619.9
0.388,56.65,1.54314,168.88764,0.24,0.39,9.0,70.0,4.16,14.0,619.9
0.321,60.19,1.5408,169.35835,0.11,0.39,10.0,73.0,4.16,14.0,619.9
0.404,53.93,1.53967,169.59368,0.11,0.36,9.0,71.0,4.16,14.0,619.9
0.345,60.16,1.53856,169.83091000000002,0.11,0.36,10.0,72.0,4.16,14.0,619.9
0.315,61.11,1.53716,170.14056000000002,0.11,0.36,10.0,72.0,4.14,14.0,619.9
0.35,57.3,1.5361200000000002,170.37627,0.11,0.38,10.0,72.0,4.13,14.0,619.9
0.326,58.84,1.53511,170.61397,0.11,0.38,9.0,69.0,4.1,14.0,619.9
0.34,59.62,1.53411,170.85339,0.29,0.5,9.0,71.0,4.08,14.0,619.9
0.295,62.47,1.5331299999999999,171.09557,0.29,0.5,9.0,71.0,4.08,14.0,619.9
0.321,59.89,1.53221,171.33253,0.24,0.59,9.0,75.0,4.05,14.0,619.8
0.262,66.94,1.53104,171.64225,0.24,0.37,10.0,74.0,4.04,14.0,619.8
0.293,63.3,1.5301799999999999,171.87906,0.09,0.37,10.0,62.0,4.04,14.0,619.8
0.297,63.94,1.52932,172.11938999999998,0.09,0.37,10.0,70.0,4.03,14.0,619.8
0.327,59.73,1.52849,172.36244,0.07,0.42,10.0,66.0,4.02,14.0,619.8
0.29,64.73,1.52768,172.60808,0.07,0.42,10.0,69.0,4.02,14.0,619.8
0.306,61.84,1.52691,172.84916,0.07,0.63,10.0,70.0,4.01,14.0,619.8
0.235,71.83,1.5258,173.21247,0.27,0.63,10.0,68.0,4.01,14.0,619.8
0.252,66.87,1.52511,173.45092,0.09,0.38,10.0,71.0,3.99,14.0,619.8
0.284,64.68,1.52444,173.69065,0.09,0.39,10.0,74.0,3.95,14.0,619.8
0.298,64.19,1.5237399999999999,173.95193,0.16,0.39,10.0,74.0,3.95,14.0,619.8
0.316,60.95,1.52312,174.19118,0.16,0.44,10.0,72.0,3.95,14.0,619.8
0.299,62.42,1.52252,174.43379,0.18,0.44,10.0,73.0,3.95,14.0,619.8
0.274,66.04,1.52183,174.7325,0.15,0.41,10.0,77.0,3.97,14.0,619.8
0.265,67.66,1.52126,174.98848999999998,0.15,0.41,10.0,79.0,3.98,14.0,619.8
0.253,69.19,1.5207600000000001,175.22802,0.31,0.41,9.0,74.0,4.01,14.0,619.7
0.295,63.11,1.52027,175.46983,0.31,0.59,9.0,72.0,4.01,14.0,619.7
0.308,61.48,1.51981,175.71166000000002,0.23,0.59,10.0,73.0,4.03,14.0,619.7
0.353,58.07,1.51938,175.95369,0.23,0.51,10.0,73.0,4.03,14.0,619.7
0.261,66.49,1.51881,176.29263,0.4,0.51,10.0,66.0,4.04,14.0,619.8
0.34,58.42,1.51844,176.53434,0.41,0.51,10.0,66.0,4.04,14.0,619.8
0.343,57.75,1.51809,176.77801000000002,0.41,0.46,10.0,72.0,4.04,14.0,619.8
0.32299999999999995,60.72,1.51777,177.02113,0.41,0.46,10.0,76.0,4.04,14.0,619.8
0.343,57.66,1.51747,177.26629,0.11,0.46,10.0,66.0,4.03,14.0,619.8
0.35600000000000004,58.53,1.51718,177.52801000000002,0.11,0.37,9.0,68.0,4.01,14.0,619.8
0.299,64.34,1.51688,177.83604,0.13,0.37,9.0,69.0,4.02,14.0,619.8
0.319,60.23,1.51665,178.09313,0.13,0.59,9.0,73.0,4.04,14.0,619.8
0.36,55.13,1.51647,178.33687,0.13,0.59,9.0,76.0,4.04,14.0,619.8
0.38,54.75,1.51631,178.58041,0.13,0.4,9.0,76.0,4.04,14.0,619.8
0.345,57.89,1.51617,178.82443999999998,0.15,0.4,9.0,73.0,4.07,14.0,619.7
0.333,58.13,1.51606,179.06758,0.15,0.4,9.0,73.0,4.09,14.0,619.7
0.269,64.69,1.51595,180.56572,0.1,0.33,10.0,69.0,4.1,14.0,619.7
0.307,60.79,1.5160200000000001,180.80662,0.1,0.34,11.0,69.0,4.1,14.0,619.7
0.305,61.95,1.51611,181.05356,0.1,0.34,11.0,72.0,4.09,13.0,619.7
0.21,77.75,1.51624,181.29802,0.1,0.38,11.0,67.0,4.08,13.0,619.7
0.287,65.01,1.5163799999999998,181.54402,0.15,0.38,10.0,69.0,4.08,13.0,619.7
0.355,57.75,1.5165600000000001,181.78972,0.15,0.33,10.0,69.0,4.08,13.0,619.7
0.259,69.67,1.51683,182.11061999999998,0.15,0.49,10.0,72.0,4.12,13.0,619.7
